"section","file","path","obtenerDatos","localStorage","sessionStorage","setTimeout","subscribe","rxjsSubject","legacyWord","datosWord"
"24","seccion24-form.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion24\seccion24-form.component.ts","0","0","0","0","1","0","2","14"
"24","seccion24-view.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion24\seccion24-view.component.ts","0","0","0","0","0","0","0","8"
"25","seccion25-constants.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion25\seccion25-constants.ts","0","0","0","0","0","0","0","1"
"25","seccion25-form.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion25\seccion25-form.component.ts","0","0","0","0","3","0","0","107"
"25","seccion25-view.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion25\seccion25-view.component.ts","0","0","0","0","0","0","0","21"
"26","seccion26-constants.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion26\seccion26-constants.ts","0","0","0","0","0","0","0","8"
"26","seccion26-form.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion26\seccion26-form.component.ts","0","0","0","0","4","0","0","28"
"26","seccion26-view.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion26\seccion26-view.component.ts","0","0","0","0","0","0","0","6"
"27","seccion27-constants.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion27\seccion27-constants.ts","0","0","0","0","0","0","0","1"
"27","seccion27-form.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion27\seccion27-form.component.ts","0","0","0","0","0","0","0","5"
"27","seccion27-view.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion27\seccion27-view.component.ts","0","0","0","0","0","0","0","3"
"28","seccion28-constants.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion28\seccion28-constants.ts","0","0","0","0","0","0","0","0"
